text,reviewId,city,lan,original_Index
"Great service. Great food. Anna was a great server. Gabriel made are drinks which were amazing.  Love this place, will be back for sure",ChdDSUhNMG9nS0VJQ0FnSUREbllDVWdBRRAB,New York,en,4158
Very delicious a little expensive but other wise veryyyyyy good,ChZDSUhNMG9nS0VJQ0FnSUM5aE9ydUVBEAE,Boston,en,1336
Nice spot to get fresh chicken wings price is good you know black people love fry chicken .,ChdDSUhNMG9nS0VJQ0FnSUQ5c3VMbzl3RRAB,Boston,en,1379
The bacon cheeseburger and onion rings are great!,ChZDSUhNMG9nS0VJQ0FnSUREemRUVUl3EAE,Charlotte,en,2707
"This is an Asian-owned restaurant/ neighborhood bar. I traveled to support this establishment thinking it was Black-owned since Suite says it's been around 50 years. I'm not not sure how ownership changed or any of the history other than what's on the the website, but the food had to have been better in the past for it to be around.

Ordered the fried chicken, fish, greens and mac and cheese. The food was below average and disappointing.

An owner who actually grew up eating southern soul food would have better standards.

Alcohol selection was limited.

The staff was nice.",ChZDSUhNMG9nS0VJQ0FnSUREbzRlWFh3EAE,Washington,en,5159
Quick and easy!,ChdDSUhNMG9nS0VJQ0FnSUNOem9lazlnRRAB,Dallas,en,3715
Good food here,ChdDSUhNMG9nS0VJQ0FnSUREM2VDXzBnRRAB,New Orleans,en,6024
"Very good food, seafood pasta was great, shrimp po-boy sandwich bread was on a dry side. Our food came out very fast!",ChZDSUhNMG9nS0VJQ0FnSUNEc3BpQktBEAE,New Orleans,en,5894
No where to sit. Food is average. And they expect you to eat a tender meal dry. If not you have to pay for sause that should be free. So just find a different location cause this one sucks,ChZDSUhNMG9nS0VJQ0FnSUM5aWRyR0N3EAE,Dallas,en,3643
Da bomb!,ChZDSUhNMG9nS0VJQ0FnSUQ5bWVtUVlnEAE,New Orleans,en,5428
"food it’s good ,, they’re attitude it’s crazy , they think it’s not any pizza place only them shame what a service disgusting! never go back again shame shame",ChZDSUhNMG9nS0VJQ0FnSUNObHFmNFR3EAE,New York,en,3946
"Great place for Mexico food, The Clean restaurant and good customer service is the main reason I come back to this place.The food is made to order. And is always fresh.",ChdDSUhNMG9nS0VJQ0FnSUQ5bDhqaHlBRRAB,Dallas,en,3615
We had the chili cheese grilled hotdog and I had the Kool-Aid and it was Bussin. Please try it’s it’s worth 🫶‼MUST TRY NOEW,ChdDSUhNMG9nS0VJQ0FnSUREOE51R3BnRRAB,Atlanta,en,932
amazing atmosphere! chef is very personal and engaging. the overall restaurant and staff is amazing and beautiful. would love to come everyday!!,ChdDSUhNMG9nS0VJQ0FnSUR0bkxPTDBnRRAB,Atlanta,en,75
The manager was very hostile and not at all helpful,ChdDSUhNMG9nS0VJQ0FnSURGeDQ3RjNBRRAB,Charlotte,en,2273
Very good Chinese takeout. Wish they had dine in since it’s probably best fresh. Freddie Wong’s “3.5 star rule” applies here.,ChdDSUhNMG9nS0VJQ0FnSURaLTlMSmtRRRAB,San Francisco,en,4693
I love this place me and my girlfriend had a great time we will be back..,ChZDSUhNMG9nS0VJQ0FnSUNqM2ZLX1NREAE,Atlanta,en,661
Waited over an hour for my delivery and the order was not complete at that. Never again,ChZDSUhNMG9nS0VJQ0FnSUNsNDZLTEVnEAE,New York,en,4114
"10 out of 10! I came here yesterday w/ my amazing friend! Christie was our waitress, she was AMAZING and super sweet! BE SURE TO ASK FOR HER! My friend and I sat outside, started off w/ the fried pickles, I never had them before but they were sooooo good, including the sauce, I had the spring mule (that’s not what it’s called but it was so good) for dinner I had the ribs (half) w fries and broccoli! My friend had the salmon it was good too! Yep you guessed it I couldn’t finish it all! I’m definitely coming back here again. We sat outside and the weather was perfect for it!!",ChZDSUhNMG9nS0VJQ0FnSUQ5dXJyRmZREAE,Cary,en,1957
I have been going for years here since they shut down all other restaurants on Westside but here the drinks are so wonderful the astophere is loving the staff are very easy to talk to.,ChdDSUhNMG9nS0VJQ0FnSUROdmRDWDR3RRAB,Chicago,en,3016
"I just received the most bland, tasteless chicken that I have ever eaten from here before. It was so unseasoned, it didn't even have a smell. The biscuits have been changed, were dry, they had no honey butter on them. This Krispy Krunchy Chicken used to have the tastiest fast food chicken on the market, it was my go-to, but it clearly has some serious quality issues lately or maybe new ownership has all their attention placed on their burger business at the same address instead. So disappointed, what a waste of money and calories! I won't be ordering from this location again!",ChZDSUhNMG9nS0VJQ0FnSUN0NE15alBREAE,Washington,en,4923
Amazing all around. I got the gumbo and jumbo shrimp. Both were delicious.  The cocktail and Remoulade sauces were the best I've ever had.,ChZDSUhNMG9nS0VJQ0FnSUNqME9XaU53EAE,New Orleans,en,6379
Every time I order food from here taste different. This time I ordered a mangu and it tasted like mash beans I don’t know why and a mamey shake tasted terrible idk what kind of milk they used but it was disgusting.,ChdDSUhNMG9nS0VJQ0FnSUMxdzZENGxRRRAB,New York,en,4351
Sandwich was good. I just noticed that this is the MOST EXPENSIVE subway I’ve been to. 6” subs are 11.93$ that’s ridiculous.,ChZDSUhNMG9nS0VJQ0FnSUNaMDd1QVlBEAE,Atlanta,en,764
Nice spot but the food was just ok,ChZDSUhNMG9nS0VJQ0FnSUQ5dl96aE1nEAE,New York,en,4111
"Very poor food. My serving of Pad Thai had dry chicken and only noodles. No seasoning, very bland. I did not have sprouts or green onions in my dish. Careless in providing a meal. I would not recommend this to the people I know.",ChdDSUhNMG9nS0VJQ0FnSUREZ0ttOTB3RRAB,Atlanta,en,216
"Probably sadly won’t be returning. :( portions have gotten so small, used to be much bigger and better quality. Our service was incredibly slow. For the price you will pay, there is much better locally.",ChZDSUhNMG9nS0VJQ0FnSUM5M2NmRUxnEAE,Charlotte,en,2570
UNSANITARY!!! UNCLEANED CHICKEN - FEATHERS ON CHICKEN ON AT LEAST 4 OCCASIONS DESPITE COMPLAINTS & POLITELY ASKING TO PREVENT - BEWARE!!! NEVER AGAIN. QUALITY IS DISRESPECT TO CUSTOMERS AND COMMUNITY _ Steadily Increasing Prices but POOR QUALITY & INEFFECTIVE CUSTOMER SERVICE (JUST EXCUSES),ChZDSUhNMG9nS0VJQ0FnSUROMTRmSENBEAE,New York,en,4098
The food is dry and horrible  3-10,ChZDSUhNMG9nS0VJQ0FnSURCcE12MmRREAE,New York,en,4148
"Vibrant club...young crowd....overpriced tables and bottles, but ideal for the fake sophisticated...not my vibe.",ChdDSUhNMG9nS0VJQ0FnSUNCaW9laHdRRRAB,Atlanta,en,26
"Not a pleasant experience. My friend ordered the same item later than I ordered and they served his food way before me. Also, my friend’s portion was significantly bigger than mine making the situation funny. The place was packed with people without enough seats. They ask for a tip for all self-service and long wait time.",ChZDSUhNMG9nS0VJQ0FnSUNqcHBDdU93EAE,San Francisco,en,4523
"Food was delicious and a wide variety of choices. Very flavorful with good portions(you can share) Presentation was very nice.
The restaurant was very quiet with not alot of people eating in. We were here on a Friday night. Alot of to go orders were coming in. There was only one server but she was very attentive and cordial. Note that 18% gratuity is automatically added.
We enjoyed our meal.",ChZDSUhNMG9nS0VJQ0FnSUMxenZXNE93EAE,Atlanta,en,484
One of my favorite dinners in a long time! A must try,ChZDSUhNMG9nS0VJQ0FnSUM5bDZ6bEtnEAE,New York,en,4431
"Very good bacon egg and cheese sandwich, and very nice atmosphere, but my mother hurt herself really bad, in the restroom, due to a broken seat, that slid, when she sat down on it. They need to repair their broken seat, because my mother is still hurting due to that broken seat, that slid when she sat down on it. So, please be careful in their tiny little restroom, with a broken seat.",ChdDSUhNMG9nS0VJQ0FnSUNqNGJycXd3RRAB,New Orleans,en,5926
What can be said about this restaurant? It’s absolutely fabulous. I’ve been coming here since 18 years old. I am now 68 and the food is always fabulous. The service is always fabulous and the people are always fabulous.,ChZDSUhNMG9nS0VJQ0FnSUREMXM2dUt3EAE,New Orleans,en,6051
The al pastor was delicious as well as the fresh salsas,ChZDSUhNMG9nS0VJQ0FnSUREOWZ1LURnEAE,Dallas,en,3234
I had a chopped salad that was huge crispy fresh tasty  and the shrimp dish that was a work of art with angel hair wontons and a light sauce  I also had crispity calamari that was oh so delicious  my coworkers had cocktails which they seem to enjoy. I tried one of their steamed mussels that came in a pot of broth with some flatbread. And my other co-worker had baked salmon which she said was fabulous ,ChZDSUhNMG9nS0VJQ0FnSURENzZhVkp3EAE,Washington,en,5268
Very good food nice place,ChdDSUhNMG9nS0VJQ0FnSURwejRtLS1RRRAB,Cary,en,1970
Excellent food. Cute location great for quick bite. Very nice selection.,ChZDSUhNMG9nS0VJQ0FnSUREem95aWFREAE,New Orleans,en,5906
"Ricky Hernandez (bar tender) absolutely give him an award.   I travel a lot, and through many Airports.  This guy is the best.",ChZDSUhNMG9nS0VJQ0FnSUROczZIMVd3EAE,Chicago,en,2975
Food was great. Definitely I will be back.,ChZDSUhNMG9nS0VJQ0FnSUNqdVlhVUpBEAE,New Orleans,en,6389
They are one of the best restaurant in the on 207 St. A very clean place the food is amazing. I go every weekend.,ChZDSUhNMG9nS0VJQ0FnSUNEbHEyOUNREAE,New York,en,4106
This place has always been a great place to order your food.. Since I slowed down with ordering food and this is one place I would definitely eat from.. great food.,ChdDSUhNMG9nS0VJQ0FnSURCb3ZiRnlBRRAB,Boston,en,1291
Love this place ,ChdDSUhNMG9nS0VJQ0FnSURlbzhpVzB3RRAB,New York,en,4122
"I've been eating here for years. The food is good especially after 2am which is when I frequent. I usually order a steak and cheese or chicken cutlet sub with fries with a drink. It comes to like $20 bucks, its not to pricey at all.",ChZDSUhNMG9nS0VJQ0FnSUNqd0tmbll3EAE,Boston,en,1152
I came at 11 o’clock. I was told only Uber eats and DoorDash are being served..,ChdDSUhNMG9nS0VJQ0FnSUREcUx5bTJnRRAB,Charlotte,en,2458
Love the pollo a la brasa (charcoal rotisserie chicken); the flavor is excellent! Also ordered the alfajores.,ChdDSUhNMG9nS0VJQ0FnSUREaXNEN3FRRRAB,Boston,en,1542
"Fantastic coffee, food, and cocktails. Our server apologized early on saying they were understaffed for the afternoon, but we felt well attended to nonetheless.  Really enjoyed the latte, espresso old fashioned and fish & chips. Great experience!",ChdDSUhNMG9nS0VJQ0FnSUNEdFptTHBnRRAB,Washington,en,5063
Nice place to have some drinks and enjoy wonderful live music!,ChZDSUhNMG9nS0VJQ0FnSURkLXMtSWV3EAE,Dallas,en,3267
The food is always fantastic here! And they are so nice.,ChdDSUhNMG9nS0VJQ0FnSURkamNXWTh3RRAB,Atlanta,en,434
The lady came in and didn't wash her hands thought she was going to fix my sandwich.  I don't think so,ChdDSUhNMG9nS0VJQ0FnSURwaTlTMTBRRRAB,Dallas,en,3424
"This is a small, unassuming diner. It’s been there a long time, and the quality is great. I had the Fried Chicken and Biscuits with hot honey. It was just $9 and was super tasty. Ideal place for a quick breakfast.",ChdDSUhNMG9nS0VJQ0FnSUNqNFBURHhRRRAB,New Orleans,en,5927
I love coming to BJ's!!! The food is great and the service is top tier. Make sure to ask for Allie on your next visit!!!,ChZDSUhNMG9nS0VJQ0FnSUNEOWRDbmJBEAE,Cary,en,2114
"It's expensive, and the food and service tried to match the price, while the atmosphere struggled to keep up with the cost.  Food was great. Tasty and cooked to perfection.",ChdDSUhNMG9nS0VJQ0FnSUNqa2NEODFBRRAB,New Orleans,en,6118
"One would ask why someone would bother to leave a review for a fast food chain joint in the first place, and I would just say ""Exceptionally good service.""
Jose, the manager/counter cashier has elevated our experience far beyond any other trips to a fast food joint. I can't thank you enough my guy. You made our trip to Dallas much more enjoyable and memorable.",ChZDSUhNMG9nS0VJQ0FnSUQxazlPcUV3EAE,Dallas,en,3355
Un- experienced manager...left in charge and waited at least 30 minutes to get a refund,ChdDSUhNMG9nS0VJQ0FnSUNEbVBLVnBnRRAB,Atlanta,en,342
Good,ChdDSUhNMG9nS0VJQ0FnSURwcmRlaS1BRRAB,Cary,en,1793
"The burger combo tasted really good, and those French fries were on point. Definitely worth the money! Plus, having Wi-Fi access is always a nice perk.",ChdDSUhNMG9nS0VJQ0FnSUR0aFpubS1BRRAB,Charlotte,en,2508
My short ribs was awesome.  I also had the stuff potato 🥔  it was so much and so good it lasted me 2 days. The staff and chef are very polite and understanding.  And please don't forget the desserts. THEY ARE AWESOME,ChZDSUhNMG9nS0VJQ0FnSUR4eS1DSUVREAE,Dallas,en,3376
"Update:
I’d say quality has gone down in the last two years they roll their injera and don’t put the platter for on the injera they place everything separate its like they’ve changed for the white population, injera is not the same and shiro quality has went down their portions are small as well. I really like this place as they offer alcohol and live music but I can say it’s no longer worth the hype. You can see the reviewed pictures of how the platters are placed on different plates when that’s not how it’s supposed to be served at all

They’re priced a bit high for a new place, however their food is good, portions are a hit or miss. Sometimes they give you a decent portion other times they hide everything with injera and barely put any sauce in so I suggest checking before you leave. Their injera is good but their teff injera is okay. The restaurants atmosphere seems like they want to make it welcoming to Americans, which is good in Seattle. But their food also does not always seem authentic because of that, like they purposely make it less spicy. But they offer deli every and takeout later than any Ethiopian restaurant in Seattle so just by that they’re up points. Always friendly though and one of the few Ethiopian sports bars in Seattle that make it seem like they want everyone there (not my atmosphere I prefer Ethiopian/ Eritrean only) but hey in Seattle if you want your business to survive you adapt and I can respect that. I believe their chef is East African although I could not tell, she looked a bit Hispanic but she makes good food I was definitely a bit hesitant when I first went. They’re not my first choice but if Chefs Cafe or Kezira are closed then I will go here so definitely top 3 for Ethiopian restaurants although unlike Chefs and Kezira they do not offer Ayeb with your platter, not sure if it’s because it’s a veggie platter or what but their ayeb “house cheese” is priced pretty high at $3 but they do give you a good amount. If you’re an American wanting to try a new place that feels welcoming however still cultural, this is your place but if you’re habesha I suggest ordering to go.",ChZDSUhNMG9nS0VJQ0FnSUQ2NjdlNWJ3EAE,Seattle,en,4887
"We had reservations for four at 8pm. Place was packed. Our table wasn't ready for about 30 minutes but we were eventually seated. We ordered drinks and the $6 bread service immediately. We all did either the three-course or four-course dinners which were easy and priced well. I added an A' La Carte Mixed Lettuce & Arugula ""Wedge"" salad which wasn't the best. The lettuce was a bit warm and wilted like they had it under a heat lamp. My daughter had the Little Gem Caesar Salad which was extremely too fishy from the anchovies. They took it back. We did the Creamy Shrimp Bisque, Escargots En Croute (very good), Pelican Club Baked Oysters, two of the Braised Pork Shanks, Louisiana Cioppino - In Its Own Pot, two of the Decadent Chocolate Cakes, and the White Chocolate Bread Pudding.
Everything was decent but they were too busy and our only server just couldn't keep up. They really need some support servers for drinks, bread, and table clearing. It is the main reason for 3-Stars instead of 5! There are too many places in NOLA to eat, so we probably won't be back!",ChdDSUhNMG9nS0VJQ0FnSUNEbExudGd3RRAB,New Orleans,en,5644
"There was very little wait time for my food. The ribs were good, even better the second day as the seasonings had really gotten into the meat.",ChdDSUhNMG9nS0VJQ0FnSURENUtDTmtRRRAB,Atlanta,en,752
Exactly what we expected. Heard the person from another mariscos place opened his own restaurant. I could tell from the crab salad - great with the rice and grilled shrimp.,ChZDSUhNMG9nS0VJQ0FnSUNEb3M3eVBREAE,Chicago,en,2955
Good burrito - on the cheaper side,ChZDSUhNMG9nS0VJQ0FnSUNKMkxENU93EAE,San Francisco,en,4656
What a wonderful evening experience we had.  Bret and Joe were welcoming and what a great vibe.  Priced reasonably and the atmosphere was great.  Go for the great drinks and atmosphere and the food is an extra kicker.  We'll be back!,ChdDSUhNMG9nS0VJQ0FnSUR0ekxhSjBBRRAB,Dallas,en,3270
Food was gross and ridiculously overpriced,ChdDSUhNMG9nS0VJQ0FnSURwODd2ODh3RRAB,Chicago,en,3099
Monica was free flu,ChZDSUhNMG9nS0VJQ0FnSUNwc2ZmeFFnEAE,Dallas,en,3719
They are not 24 hours. I go past the store every night they have the doors closed and locked.,ChZDSUhNMG9nS0VJQ0FnSURWX296T0NREAE,Charlotte,en,2418
Best Louisiana Fried chicken location.,ChZDSUhNMG9nS0VJQ0FnSUNGaThTQlZ3EAE,Dallas,en,3471
